ã¶íËédólî‘çÜ_é˘óvâ∆ÉRÅ[Éh,ã¶íËédólî‘çÜ_ïiéÌÉRÅ[Éh,ã¶íËédólî‘çÜ_ç|éÌÉRÅ[Éh,ã¶íËédólî‘çÜ_í≤éøÉRÅ[Éh,ã¶íËédólî‘çÜ_édè„ÉRÅ[Éh,ã¶íËédólî‘çÜ_åˆèÃî¬å˙,ã¶íËédólî‘çÜ_åˆèÃî¬ïù,ã¶íËédólî‘çÜ_òAî‘,ã¶íËédólî‘çÜ_â¸í˘î‘çÜ,ÉRÉCÉãî‘çÜ,ÉRÉCÉãï™äÑî‘çÜ,çÏã∆îNåéì˙éûï™,çHíˆÉRÅ[Éh_çÏã∆ÉRÅ[Éh,çHíˆÉRÅ[Éh_ÉâÉCÉìÉRÅ[Éh1,çHíˆÉRÅ[Éh_ÉâÉCÉìÉRÅ[Éh2,çHíˆÉRÅ[Éh_èàóùéÌï ,ëOñ èoÇµãÊï™,çÏã∆å„ÉRÉCÉãí∑Ç≥,îMèàóù_ë¨ìx,îMèàóù_í£óÕì¸ë§,îMèàóù_í£óÕíÜâõ,îMèàóù_í£óÕèoë§,îMèàóù_H2ó¨ó ,îMèàóù_òFâ∑1,îMèàóù_òFâ∑2,îMèàóù_òFâ∑3,îMèàóù_òFâ∑4,îMèàóù_òFâ∑5,îMèàóù_òFâ∑6,îMèàóù_òFâ∑7,îMèàóù_òFâ∑8,îMèàóù_òFâ∑9,îMèàóù_òFâ∑10,îMèàóù_òFâ∑11,îMèàóù_òFâ∑12,îMèàóù_òFâ∑13,îMèàóù_òFâ∑14,îMèàóù_òFâ∑15,îMèàóù_òFâ∑16
D250,S,600,34,MW,0300,4600,03,01,50965,2,202311120004,2,0,6,4,0,4311,52.5,9.99,2.04,39.43,60,657,655,656,654,654,655,651,657,515,404,298,301,205,191,98,18
D250,S,600,34,MW,0300,4600,03,01,50966,21,202311120247,2,0,6,4,0,4398,52.5,9.93,2.05,38.42,60,657,655,656,654,654,655,649,656,514,404,298,301,208,189,95,18
D250,S,600,34,MW,0300,4600,03,01,50966,1,202312081958,2,0,6,4,0,1402,52.5,9.95,2.1,39.35,59,655,655,657,655,653,655,649,656,511,383,293,301,213,188,91,17
D250,S,600,34,MW,0300,4600,03,01,50967,21,202401090533,2,0,6,4,0,3064,52.5,9.96,2.08,40.08,60,656,655,657,655,655,655,649,655,508,403,298,301,206,193,86,9
D250,S,600,34,MW,0300,4600,03,01,50967,22,202401090812,2,0,6,4,0,3901,52.5,9.99,2.06,38.71,60,657,655,657,655,654,655,645,656,507,404,299,301,206,188,87,9
D250,S,600,34,MW,0300,4600,03,01,50968,1,202401091045,2,0,6,4,0,4355,52.5,9.97,2.04,38.23,60,657,655,657,655,655,656,647,656,508,404,300,301,206,187,88,10
D250,S,600,34,MW,0300,4600,03,01,50968,2,202401092047,2,0,6,4,0,5332,52.5,9.98,2.05,39.26,59,657,655,657,655,655,655,647,656,508,404,297,302,206,191,90,14
D250,S,600,34,MW,0300,4600,03,01,50970,2,202401101143,2,0,6,4,0,5473,52.5,9.94,2.03,39.28,59,657,655,657,655,656,655,645,656,507,404,297,301,208,189,88,15
D250,S,600,34,MW,0300,4600,03,01,50969,1,202401101409,2,0,6,4,0,4445,52.5,9.98,2.06,39.58,58,658,655,657,655,655,656,647,656,509,404,301,302,211,188,92,17
D250,S,600,34,MW,0300,4600,03,01,50969,21,202401101726,2,0,6,4,0,1424,52.5,9.98,2.01,38.24,58,657,655,657,654,654,655,650,656,509,404,299,302,202,193,90,17
