Angle [deg],DRValue [um]
12.625,0.258
12.65,0.216
12.675,0.171
12.7,0.137
12.725,0.105
12.75,0.087
12.775,0.079
12.8,0.071
12.825,0.077
12.85,0.082
12.875,0.098
12.9,0.106
12.925,0.11
12.95,0.116
12.975,0.12
13,0.119
13.025,0.111
13.05,0.101
13.075,0.091
13.1,0.067
13.125,0.047
13.15,0.034
13.175,0.01
13.2,-0.008
13.225,-0.032
13.25,-0.054
13.275,-0.076
13.3,-0.1
13.325,-0.121
13.35,-0.141
13.375,-0.167
13.4,-0.195
13.425,-0.213
13.45,-0.231
13.475,-0.242
13.5,-0.244
13.525,-0.242
13.55,-0.232
13.575,-0.212
13.6,-0.184
13.625,-0.148
13.65,-0.099
13.675,-0.055
13.7,0.003
13.725,0.047
13.75,0.105
13.775,0.153
13.8,0.2
13.825,0.246
13.85,0.266
13.875,0.286
13.9,0.296
13.925,0.296
13.95,0.291
13.975,0.269
14,0.253
14.025,0.235
14.05,0.213
14.075,0.197
14.1,0.185
14.125,0.182
14.15,0.184
14.175,0.2
14.2,0.222
14.225,0.25
14.25,0.288
14.275,0.331
14.3,0.373
14.325,0.419
14.35,0.449
14.375,0.491
14.4,0.523
14.425,0.555
14.45,0.578
14.475,0.608
14.5,0.64
14.525,0.668
14.55,0.708
14.575,0.746
14.6,0.801
14.625,0.849
14.65,0.899
14.675,0.967
14.7,1.017
14.725,1.071
14.75,1.109
14.775,1.146
14.8,1.16
14.825,1.16
14.85,1.15
14.875,1.122
14.9,1.086
14.925,1.039
14.95,0.981
14.975,0.919
15,0.851
15.025,0.793
15.05,0.739
15.075,0.683
15.1,0.636
15.125,0.594
15.15,0.57
15.175,0.542
15.2,0.518
15.225,0.504
15.25,0.489
15.275,0.471
15.3,0.453
15.325,0.441
15.35,0.423
15.375,0.407
15.4,0.385
15.425,0.362
15.45,0.338
15.475,0.318
15.5,0.292
15.525,0.258
15.55,0.226
15.575,0.192
15.6,0.153
15.625,0.115
15.65,0.063
15.675,0.013
15.7,-0.049
15.725,-0.101
15.75,-0.16
15.775,-0.22
15.8,-0.276
15.825,-0.32
15.85,-0.36
15.875,-0.39
15.9,-0.41
15.925,-0.417
15.95,-0.413
15.975,-0.409
16,-0.393
16.025,-0.373
16.05,-0.357
16.075,-0.333
16.1,-0.31
16.125,-0.31
16.15,-0.304
16.175,-0.31
16.2,-0.32
16.225,-0.342
16.25,-0.355
16.275,-0.387
16.3,-0.419
16.325,-0.449
16.35,-0.475
16.375,-0.513
16.4,-0.543
16.425,-0.578
16.45,-0.61
16.475,-0.648
16.5,-0.69
16.525,-0.722
16.55,-0.754
16.575,-0.79
16.6,-0.817
16.625,-0.835
16.65,-0.853
16.675,-0.863
16.7,-0.865
16.725,-0.853
16.75,-0.843
16.775,-0.804
16.8,-0.77
16.825,-0.73
16.85,-0.684
16.875,-0.628
16.9,-0.572
16.925,-0.519
16.95,-0.467
16.975,-0.407
17,-0.347
17.025,-0.295
17.05,-0.237
17.075,-0.183
17.1,-0.13
17.125,-0.074
17.15,-0.03
17.175,0.016
17.2,0.06
17.225,0.084
17.25,0.12
17.275,0.149
17.3,0.173
17.325,0.193
17.35,0.207
17.375,0.221
17.4,0.235
17.425,0.235
17.45,0.242
17.475,0.25
17.5,0.242
17.525,0.234
17.55,0.224
17.575,0.208
17.6,0.188
17.625,0.167
17.65,0.141
17.675,0.111
17.7,0.075
17.725,0.041
17.75,0.007
17.775,-0.037
17.8,-0.082
17.825,-0.118
17.85,-0.164
17.875,-0.21
17.9,-0.258
17.925,-0.294
17.95,-0.327
17.975,-0.359
18,-0.379
18.025,-0.401
18.05,-0.409
18.075,-0.415
18.1,-0.421
18.125,-0.424
18.15,-0.426
18.175,-0.428
18.2,-0.436
18.225,-0.448
18.25,-0.462
18.275,-0.484
18.3,-0.509
18.325,-0.535
18.35,-0.559
18.375,-0.591
18.4,-0.615
18.425,-0.639
18.45,-0.655
18.475,-0.664
18.5,-0.664
18.525,-0.656
18.55,-0.654
18.575,-0.636
18.6,-0.618
18.625,-0.6
18.65,-0.581
18.675,-0.565
18.7,-0.557
18.725,-0.555
18.75,-0.557
18.775,-0.569
18.8,-0.589
18.825,-0.61
18.85,-0.64
18.875,-0.674
18.9,-0.718
18.925,-0.74
18.95,-0.766
18.975,-0.788
19,-0.803
19.025,-0.797
19.05,-0.791
19.075,-0.767
19.1,-0.731
19.125,-0.685
19.15,-0.633
19.175,-0.569
19.2,-0.504
19.225,-0.438
19.25,-0.374
19.275,-0.306
19.3,-0.234
19.325,-0.174
19.35,-0.106
19.375,-0.039
19.4,0.037
19.425,0.101
19.45,0.177
19.475,0.261
19.5,0.343
19.525,0.425
19.55,0.496
19.575,0.574
19.6,0.648
19.625,0.704
19.65,0.756
19.675,0.798
19.7,0.83
19.725,0.851
19.75,0.853
19.775,0.859
19.8,0.841
19.825,0.827
19.85,0.799
19.875,0.769
19.9,0.74
19.925,0.706
19.95,0.67
19.975,0.632
20,0.604
20.025,0.572
20.05,0.54
20.075,0.509
20.1,0.479
20.125,0.461
