Angle [deg],DRValue [um]
190.275,-0.523
190.3,-0.541
190.325,-0.551
190.35,-0.541
190.375,-0.515
190.4,-0.478
190.425,-0.424
190.45,-0.354
190.475,-0.276
190.5,-0.19
190.525,-0.116
190.55,-0.041
190.575,0.037
190.6,0.117
190.625,0.181
190.65,0.227
190.675,0.269
190.7,0.307
190.725,0.338
190.75,0.358
190.775,0.372
190.8,0.386
190.825,0.396
190.85,0.404
190.875,0.407
190.9,0.421
190.925,0.423
190.95,0.427
190.975,0.435
191,0.433
191.025,0.44
191.05,0.442
191.075,0.45
191.1,0.46
191.125,0.472
191.15,0.488
191.175,0.505
191.2,0.531
191.225,0.559
191.25,0.591
191.275,0.627
191.3,0.667
191.325,0.7
191.35,0.742
191.375,0.784
191.4,0.822
191.425,0.862
191.45,0.894
191.475,0.927
191.5,0.945
191.525,0.963
191.55,0.969
191.575,0.961
191.6,0.945
191.625,0.918
191.65,0.88
191.675,0.83
191.7,0.768
191.725,0.716
191.75,0.644
191.775,0.566
191.8,0.491
191.825,0.417
191.85,0.353
191.875,0.285
191.9,0.229
191.925,0.173
191.95,0.122
191.975,0.082
192,0.05
192.025,0.016
192.05,-0.02
192.075,-0.052
192.1,-0.099
192.125,-0.131
192.15,-0.173
192.175,-0.211
192.2,-0.253
192.225,-0.293
192.25,-0.328
192.275,-0.352
192.3,-0.37
192.325,-0.372
192.35,-0.378
192.375,-0.366
192.4,-0.35
192.425,-0.329
192.45,-0.307
192.475,-0.289
192.5,-0.277
192.525,-0.277
192.55,-0.275
192.575,-0.29
192.6,-0.314
192.625,-0.342
192.65,-0.372
192.675,-0.412
192.7,-0.444
192.725,-0.475
192.75,-0.495
192.775,-0.505
192.8,-0.509
192.825,-0.495
192.85,-0.475
192.875,-0.44
192.9,-0.394
192.925,-0.356
192.95,-0.308
192.975,-0.262
193,-0.208
193.025,-0.17
193.05,-0.139
193.075,-0.111
193.1,-0.097
193.125,-0.091
193.15,-0.093
193.175,-0.097
193.2,-0.112
193.225,-0.126
193.25,-0.134
193.275,-0.148
193.3,-0.15
193.325,-0.14
193.35,-0.134
193.375,-0.111
193.4,-0.083
193.425,-0.039
193.45,-0.003
193.475,0.051
193.5,0.093
193.525,0.138
193.55,0.176
193.575,0.21
193.6,0.238
193.625,0.25
193.65,0.264
193.675,0.259
193.7,0.251
193.725,0.247
193.75,0.239
193.775,0.231
193.8,0.219
193.825,0.207
193.85,0.202
193.875,0.206
193.9,0.208
193.925,0.218
193.95,0.23
193.975,0.236
194,0.245
194.025,0.257
194.05,0.261
194.075,0.265
194.1,0.275
194.125,0.275
194.15,0.277
194.175,0.276
194.2,0.276
194.225,0.274
194.25,0.272
194.275,0.266
194.3,0.256
194.325,0.241
194.35,0.213
194.375,0.185
194.4,0.151
194.425,0.105
194.45,0.051
194.475,-0.007
194.5,-0.068
194.525,-0.138
194.55,-0.208
194.575,-0.286
194.6,-0.36
194.625,-0.42
194.65,-0.485
194.675,-0.541
194.7,-0.587
194.725,-0.623
194.75,-0.641
194.775,-0.651
194.8,-0.659
194.825,-0.662
194.85,-0.652
194.875,-0.642
194.9,-0.636
194.925,-0.636
194.95,-0.634
194.975,-0.643
195,-0.653
195.025,-0.671
195.05,-0.703
195.075,-0.733
195.1,-0.775
195.125,-0.817
195.15,-0.846
195.175,-0.88
195.2,-0.902
195.225,-0.91
195.25,-0.898
195.275,-0.88
195.3,-0.845
195.325,-0.809
195.35,-0.759
195.375,-0.705
195.4,-0.649
195.425,-0.607
195.45,-0.571
195.475,-0.538
195.5,-0.518
195.525,-0.516
195.55,-0.51
195.575,-0.506
195.6,-0.506
195.625,-0.501
195.65,-0.489
195.675,-0.469
195.7,-0.437
195.725,-0.405
195.75,-0.363
195.775,-0.323
195.8,-0.274
195.825,-0.238
195.85,-0.204
195.875,-0.166
195.9,-0.146
195.925,-0.124
195.95,-0.108
195.975,-0.085
196,-0.065
196.025,-0.037
196.05,-0.009
196.075,0.037
196.1,0.087
196.125,0.134
196.15,0.196
196.175,0.26
196.2,0.336
196.225,0.394
196.25,0.458
196.275,0.524
196.3,0.571
196.325,0.617
196.35,0.645
196.375,0.669
196.4,0.675
196.425,0.675
196.45,0.669
196.475,0.644
196.5,0.618
196.525,0.59
196.55,0.556
196.575,0.516
196.6,0.476
196.625,0.438
196.65,0.397
196.675,0.359
196.7,0.323
196.725,0.289
196.75,0.269
196.775,0.247
196.8,0.234
196.825,0.24
196.85,0.248
196.875,0.256
196.9,0.278
196.925,0.298
196.95,0.322
196.975,0.351
197,0.377
197.025,0.399
197.05,0.409
197.075,0.423
197.1,0.427
197.125,0.417
197.15,0.4
197.175,0.376
197.2,0.348
197.225,0.32
197.25,0.286
197.275,0.24
197.3,0.198
197.325,0.161
197.35,0.127
197.375,0.089
197.4,0.049
197.425,0.019
197.45,-0.013
197.475,-0.051
197.5,-0.088
197.525,-0.13
197.55,-0.156
197.575,-0.194
197.6,-0.23
197.625,-0.26
197.65,-0.286
197.675,-0.307
197.7,-0.315
197.725,-0.323
197.75,-0.319
197.775,-0.305
197.8,-0.275
197.825,-0.248
197.85,-0.202
197.875,-0.148
197.9,-0.094
197.925,-0.034
197.95,0.01
197.975,0.068
198,0.121
198.025,0.167
198.05,0.211
198.075,0.251
198.1,0.283
198.125,0.309
198.15,0.347
198.175,0.38
198.2,0.418
198.225,0.454
198.25,0.484
198.275,0.52
198.3,0.55
198.325,0.57
198.35,0.587
198.375,0.593
198.4,0.589
198.425,0.587
198.45,0.567
198.475,0.547
198.5,0.513
198.525,0.498
198.55,0.47
198.575,0.446
198.6,0.432
198.625,0.42
198.65,0.436
198.675,0.46
198.7,0.491
198.725,0.537
198.75,0.587
198.775,0.647
198.8,0.705
198.825,0.759
198.85,0.805
198.875,0.838
198.9,0.862
198.925,0.864
198.95,0.852
198.975,0.834
199,0.79
199.025,0.74
199.05,0.681
199.075,0.611
199.1,0.547
199.125,0.485
199.15,0.433
199.175,0.383
199.2,0.347
199.225,0.319
199.25,0.294
199.275,0.272
199.3,0.252
199.325,0.226
199.35,0.2
199.375,0.16
199.4,0.108
199.425,0.055
199.45,-0.015
199.475,-0.089
199.5,-0.175
199.525,-0.259
199.55,-0.335
199.575,-0.417
199.6,-0.488
199.625,-0.548
199.65,-0.592
199.675,-0.638
199.7,-0.674
199.725,-0.692
199.75,-0.71
199.775,-0.723
199.8,-0.731
199.825,-0.733
199.85,-0.737
199.875,-0.739
199.9,-0.747
199.925,-0.751
199.95,-0.76
199.975,-0.768
200,-0.784
200.025,-0.796
200.05,-0.818
200.075,-0.846
200.1,-0.872
200.125,-0.901
200.15,-0.935
200.175,-0.963
200.2,-1.003
200.225,-1.033
200.25,-1.057
200.275,-1.075
200.3,-1.087
200.325,-1.086
200.35,-1.07
200.375,-1.05
200.4,-1.014
200.425,-0.974
200.45,-0.928
200.475,-0.87
200.5,-0.817
200.525,-0.771
200.55,-0.717
200.575,-0.665
200.6,-0.623
200.625,-0.585
200.65,-0.549
200.675,-0.52
200.7,-0.49
200.725,-0.472
200.75,-0.454
200.775,-0.434
200.8,-0.414
200.825,-0.392
200.85,-0.37
200.875,-0.343
200.9,-0.317
200.925,-0.295
200.95,-0.269
200.975,-0.239
201,-0.213
201.025,-0.185
201.05,-0.164
201.075,-0.126
201.1,-0.098
201.125,-0.054
201.15,-0.014
201.175,0.038
201.2,0.086
201.225,0.137
201.25,0.181
201.275,0.233
201.3,0.273
201.325,0.299
201.35,0.325
201.375,0.329
201.4,0.325
201.425,0.306
201.45,0.28
201.475,0.248
201.5,0.214
201.525,0.178
201.55,0.148
201.575,0.122
201.6,0.109
201.625,0.107
201.65,0.099
201.675,0.107
201.7,0.127
201.725,0.131
201.75,0.147
201.775,0.151
201.8,0.148
201.825,0.144
201.85,0.134
201.875,0.112
201.9,0.084
201.925,0.05
201.95,0.022
201.975,-0.015
202,-0.039
202.025,-0.059
202.05,-0.077
202.075,-0.087
202.1,-0.105
202.125,-0.113
202.15,-0.117
202.175,-0.136
202.2,-0.152
202.225,-0.172
202.25,-0.2
202.275,-0.232
202.3,-0.276
202.325,-0.328
202.35,-0.372
202.375,-0.427
202.4,-0.473
202.425,-0.521
202.45,-0.563
202.475,-0.601
202.5,-0.629
202.525,-0.643
202.55,-0.658
202.575,-0.662
202.6,-0.66
202.625,-0.648
202.65,-0.63
202.675,-0.606
202.7,-0.578
202.725,-0.556
202.75,-0.541
202.775,-0.523
202.8,-0.511
202.825,-0.503
202.85,-0.499
202.875,-0.495
202.9,-0.499
202.925,-0.499
202.95,-0.502
202.975,-0.5
203,-0.5
203.025,-0.49
203.05,-0.486
203.075,-0.468
203.1,-0.444
203.125,-0.411
203.15,-0.373
203.175,-0.323
203.2,-0.269
203.225,-0.211
203.25,-0.149
203.275,-0.083
203.3,-0.011
203.325,0.046
203.35,0.096
203.375,0.15
203.4,0.2
203.425,0.236
203.45,0.268
203.475,0.296
203.5,0.312
203.525,0.325
203.55,0.339
203.575,0.353
203.6,0.371
203.625,0.375
203.65,0.393
203.675,0.409
203.7,0.423
203.725,0.436
203.75,0.45
203.775,0.454
203.8,0.454
203.825,0.448
203.85,0.444
203.875,0.426
203.9,0.4
203.925,0.377
203.95,0.353
203.975,0.331
204,0.305
204.025,0.285
204.05,0.271
204.075,0.257
204.1,0.249
204.125,0.238
204.15,0.228
204.175,0.21
204.2,0.192
204.225,0.158
204.25,0.12
204.275,0.068
204.3,0.012
204.325,-0.049
204.35,-0.091
204.375,-0.129
204.4,-0.147
204.425,-0.147
204.45,-0.129
204.475,-0.085
204.5,-0.023
204.525,0.032
204.55,0.106
204.575,0.178
204.6,0.246
204.625,0.296
204.65,0.334
204.675,0.35
204.7,0.35
204.725,0.321
204.75,0.289
204.775,0.233
204.8,0.173
204.825,0.115
204.85,0.043
204.875,-0.019
204.9,-0.081
204.925,-0.13
204.95,-0.172
204.975,-0.206
205,-0.232
205.025,-0.248
205.05,-0.258
205.075,-0.262
205.1,-0.266
205.125,-0.269
205.15,-0.263
205.175,-0.267
205.2,-0.261
205.225,-0.257
205.25,-0.253
205.275,-0.241
205.3,-0.229
205.325,-0.216
205.35,-0.204
205.375,-0.18
205.4,-0.15
205.425,-0.128
205.45,-0.102
205.475,-0.072
205.5,-0.05
205.525,-0.023
205.55,-0.003
205.575,0.019
205.6,0.035
205.625,0.049
205.65,0.061
205.675,0.081
205.7,0.089
205.725,0.1
205.75,0.108
205.775,0.11
205.8,0.112
205.825,0.112
205.85,0.104
205.875,0.098
205.9,0.084
205.925,0.074
205.95,0.071
205.975,0.071
206,0.075
206.025,0.091
206.05,0.115
206.075,0.143
206.1,0.177
206.125,0.211
206.15,0.242
206.175,0.288
206.2,0.306
206.225,0.326
206.25,0.34
206.275,0.34
206.3,0.324
206.325,0.298
206.35,0.269
206.375,0.239
206.4,0.207
206.425,0.171
206.45,0.145
206.475,0.117
206.5,0.099
206.525,0.087
206.55,0.079
206.575,0.07
206.6,0.072
206.625,0.07
206.65,0.062
206.675,0.06
206.7,0.04
206.725,0.014
206.75,-0.004
206.775,-0.041
206.8,-0.079
206.825,-0.111
206.85,-0.157
206.875,-0.195
206.9,-0.239
206.925,-0.277
206.95,-0.309
206.975,-0.349
207,-0.378
207.025,-0.406
207.05,-0.426
207.075,-0.444
207.1,-0.46
207.125,-0.474
207.15,-0.492
207.175,-0.504
207.2,-0.532
207.225,-0.557
207.25,-0.589
207.275,-0.629
207.3,-0.681
207.325,-0.727
207.35,-0.787
207.375,-0.857
207.4,-0.925
207.425,-0.988
207.45,-1.046
207.475,-1.114
207.5,-1.162
207.525,-1.206
207.55,-1.24
207.575,-1.264
207.6,-1.272
207.625,-1.272
207.65,-1.255
207.675,-1.235
207.7,-1.199
207.725,-1.171
207.75,-1.129
207.775,-1.079
207.8,-1.035
207.825,-0.989
207.85,-0.955
207.875,-0.92
207.9,-0.9
207.925,-0.888
207.95,-0.882
207.975,-0.888
208,-0.9
208.025,-0.916
208.05,-0.936
208.075,-0.947
208.1,-0.957
208.125,-0.963
208.15,-0.955
208.175,-0.937
208.2,-0.909
208.225,-0.869
208.25,-0.823
208.275,-0.769
208.3,-0.712
208.325,-0.66
208.35,-0.612
208.375,-0.562
208.4,-0.518
208.425,-0.488
208.45,-0.45
208.475,-0.414
208.5,-0.372
208.525,-0.343
208.55,-0.297
208.575,-0.245
208.6,-0.193
208.625,-0.135
208.65,-0.073
208.675,-0.009
208.7,0.059
208.725,0.115
208.75,0.158
208.775,0.196
208.8,0.216
208.825,0.226
208.85,0.224
208.875,0.21
208.9,0.188
208.925,0.162
208.95,0.13
208.975,0.095
209,0.059
209.025,0.039
209.05,0.003
209.075,-0.015
209.1,-0.033
209.125,-0.039
209.15,-0.037
209.175,-0.035
209.2,-0.026
209.225,-0.012
209.25,0.008
209.275,0.026
209.3,0.054
209.325,0.072
209.35,0.1
209.375,0.128
209.4,0.156
209.425,0.172
209.45,0.185
209.475,0.187
209.5,0.177
209.525,0.157
209.55,0.127
209.575,0.083
209.6,0.027
209.625,-0.031
209.65,-0.097
209.675,-0.172
209.7,-0.244
209.725,-0.292
209.75,-0.354
209.775,-0.4
209.8,-0.442
209.825,-0.476
209.85,-0.494
209.875,-0.516
209.9,-0.533
209.925,-0.533
209.95,-0.545
209.975,-0.543
210,-0.547
210.025,-0.551
210.05,-0.547
210.075,-0.547
210.1,-0.543
210.125,-0.526
210.15,-0.506
210.175,-0.478
210.2,-0.442
210.225,-0.396
210.25,-0.352
210.275,-0.302
210.3,-0.246
210.325,-0.196
210.35,-0.154
210.375,-0.123
210.4,-0.091
210.425,-0.079
210.45,-0.071
210.475,-0.067
210.5,-0.069
210.525,-0.063
210.55,-0.071
210.575,-0.067
210.6,-0.052
210.625,-0.026
210.65,0.012
210.675,0.058
210.7,0.124
210.725,0.198
210.75,0.274
210.775,0.356
210.8,0.436
210.825,0.514
210.85,0.581
210.875,0.649
210.9,0.709
210.925,0.743
210.95,0.777
210.975,0.805
211,0.831
211.025,0.843
211.05,0.861
211.075,0.875
211.1,0.896
211.125,0.924
211.15,0.948
211.175,0.99
211.2,1.022
211.225,1.054
211.25,1.084
211.275,1.102
211.3,1.11
211.325,1.103
211.35,1.085
211.375,1.053
211.4,0.993
211.425,0.925
211.45,0.853
211.475,0.757
211.5,0.671
211.525,0.573
211.55,0.497
211.575,0.426
211.6,0.358
211.625,0.308
211.65,0.268
211.675,0.234
211.7,0.204
211.725,0.188
211.75,0.162
211.775,0.142
211.8,0.114
211.825,0.091
211.85,0.049
211.875,0.009
211.9,-0.039
211.925,-0.097
211.95,-0.143
211.975,-0.195
212,-0.245
212.025,-0.289
212.05,-0.327
212.075,-0.364
212.1,-0.392
212.125,-0.41
212.15,-0.434
212.175,-0.46
212.2,-0.48
212.225,-0.506
212.25,-0.532
212.275,-0.56
212.3,-0.588
212.325,-0.621
212.35,-0.647
212.375,-0.679
212.4,-0.707
212.425,-0.733
212.45,-0.753
212.475,-0.769
212.5,-0.787
212.525,-0.797
212.55,-0.799
212.575,-0.804
212.6,-0.798
212.625,-0.788
212.65,-0.778
212.675,-0.762
212.7,-0.752
212.725,-0.734
212.75,-0.722
212.775,-0.708
212.8,-0.694
212.825,-0.681
212.85,-0.671
212.875,-0.665
212.9,-0.649
212.925,-0.639
212.95,-0.637
212.975,-0.615
213,-0.603
213.025,-0.593
213.05,-0.577
213.075,-0.565
213.1,-0.55
213.125,-0.542
213.15,-0.53
213.175,-0.526
213.2,-0.52
213.225,-0.514
213.25,-0.512
213.275,-0.504
213.3,-0.51
213.325,-0.51
213.35,-0.509
213.375,-0.503
213.4,-0.495
213.425,-0.483
213.45,-0.471
213.475,-0.435
213.5,-0.401
213.525,-0.353
213.55,-0.305
213.575,-0.241
213.6,-0.181
213.625,-0.12
213.65,-0.062
213.675,0
213.7,0.046
213.725,0.076
213.75,0.094
213.775,0.098
213.8,0.086
213.825,0.068
213.85,0.04
213.875,-0.001
213.9,-0.043
213.925,-0.081
213.95,-0.109
213.975,-0.139
214,-0.155
214.025,-0.167
214.05,-0.169
214.075,-0.161
214.1,-0.157
214.125,-0.151
214.15,-0.142
214.175,-0.14
214.2,-0.15
214.225,-0.166
214.25,-0.194
214.275,-0.236
214.3,-0.284
214.325,-0.354
214.35,-0.41
214.375,-0.478
214.4,-0.532
214.425,-0.583
214.45,-0.629
214.475,-0.657
214.5,-0.675
214.525,-0.681
214.55,-0.683
214.575,-0.667
214.6,-0.657
214.625,-0.649
214.65,-0.645
214.675,-0.647
214.7,-0.668
214.725,-0.702
214.75,-0.74
214.775,-0.788
214.8,-0.836
214.825,-0.88
214.85,-0.92
214.875,-0.954
214.9,-0.968
214.925,-0.974
214.95,-0.958
214.975,-0.935
215,-0.899
215.025,-0.853
215.05,-0.809
215.075,-0.753
215.1,-0.717
215.125,-0.677
215.15,-0.655
215.175,-0.649
215.2,-0.651
215.225,-0.657
215.25,-0.676
215.275,-0.694
215.3,-0.718
215.325,-0.726
215.35,-0.742
215.375,-0.746
215.4,-0.74
215.425,-0.732
215.45,-0.708
215.475,-0.68
215.5,-0.658
215.525,-0.621
215.55,-0.597
215.575,-0.579
215.6,-0.567
215.625,-0.563
215.65,-0.565
215.675,-0.573
215.7,-0.583
215.725,-0.595
215.75,-0.603
215.775,-0.615
215.8,-0.613
215.825,-0.612
215.85,-0.594
215.875,-0.56
215.9,-0.518
215.925,-0.456
215.95,-0.396
215.975,-0.312
216,-0.224
216.025,-0.14
216.05,-0.05
216.075,0.056
216.1,0.151
216.125,0.233
216.15,0.317
216.175,0.397
216.2,0.467
216.225,0.515
216.25,0.553
216.275,0.581
216.3,0.581
216.325,0.573
216.35,0.551
216.375,0.521
216.4,0.474
216.425,0.44
216.45,0.396
216.475,0.364
216.5,0.344
216.525,0.338
216.55,0.346
216.575,0.364
216.6,0.394
216.625,0.438
216.65,0.478
216.675,0.526
216.7,0.561
216.725,0.603
216.75,0.625
216.775,0.631
216.8,0.619
216.825,0.603
216.85,0.571
216.875,0.531
216.9,0.483
216.925,0.449
216.95,0.393
216.975,0.347
217,0.3
217.025,0.254
217.05,0.22
217.075,0.176
217.1,0.136
217.125,0.084
217.15,0.036
217.175,-0.02
217.2,-0.07
217.225,-0.116
217.25,-0.168
217.275,-0.214
217.3,-0.261
217.325,-0.291
217.35,-0.323
217.375,-0.337
217.4,-0.355
217.425,-0.367
217.45,-0.369
217.475,-0.373
217.5,-0.377
217.525,-0.369
217.55,-0.363
217.575,-0.349
217.6,-0.336
217.625,-0.314
217.65,-0.284
217.675,-0.254
217.7,-0.218
217.725,-0.172
217.75,-0.134
217.775,-0.09
217.8,-0.058
217.825,-0.024
217.85,-0.002
217.875,0.018
217.9,0.028
217.925,0.035
217.95,0.033
217.975,0.025
218,0.025
218.025,0.035
218.05,0.041
218.075,0.049
218.1,0.073
218.125,0.095
218.15,0.119
218.175,0.153
218.2,0.195
218.225,0.236
218.25,0.268
218.275,0.306
218.3,0.34
218.325,0.37
218.35,0.388
218.375,0.408
218.4,0.418
218.425,0.426
218.45,0.436
218.475,0.43
218.5,0.434
218.525,0.44
218.55,0.435
218.575,0.441
218.6,0.443
218.625,0.449
218.65,0.451
218.675,0.467
218.7,0.469
218.725,0.473
218.75,0.471
218.775,0.471
218.8,0.463
218.825,0.453
218.85,0.441
218.875,0.422
218.9,0.4
218.925,0.382
218.95,0.36
218.975,0.344
219,0.318
219.025,0.304
219.05,0.288
219.075,0.276
219.1,0.272
219.125,0.264
219.15,0.262
219.175,0.254
219.2,0.246
219.225,0.237
219.25,0.217
219.275,0.203
219.3,0.167
219.325,0.141
219.35,0.095
219.375,0.045
219.4,-0.021
219.425,-0.081
219.45,-0.155
219.475,-0.231
219.5,-0.313
219.525,-0.389
219.55,-0.456
219.575,-0.536
219.6,-0.596
219.625,-0.652
219.65,-0.708
219.675,-0.754
219.7,-0.794
219.725,-0.824
219.75,-0.862
219.775,-0.888
219.8,-0.916
219.825,-0.946
219.85,-0.974
219.875,-1.01
219.9,-1.047
219.925,-1.081
219.95,-1.115
219.975,-1.151
220,-1.175
220.025,-1.199
220.05,-1.209
220.075,-1.223
220.1,-1.231
220.125,-1.221
220.15,-1.213
220.175,-1.193
220.2,-1.169
220.225,-1.139
220.25,-1.114
220.275,-1.086
220.3,-1.058
220.325,-1.032
220.35,-1.018
220.375,-1
220.4,-0.992
220.425,-0.99
220.45,-0.982
220.475,-0.98
220.5,-0.974
220.525,-0.974
220.55,-0.972
220.575,-0.956
220.6,-0.947
220.625,-0.931
220.65,-0.915
220.675,-0.889
220.7,-0.865
220.725,-0.845
220.75,-0.815
220.775,-0.789
220.8,-0.759
220.825,-0.735
220.85,-0.707
220.875,-0.675
220.9,-0.645
220.925,-0.611
220.95,-0.576
220.975,-0.536
221,-0.488
221.025,-0.442
221.05,-0.396
221.075,-0.342
221.1,-0.3
221.125,-0.248
221.15,-0.208
221.175,-0.164
221.2,-0.132
221.225,-0.108
221.25,-0.09
221.275,-0.072
221.3,-0.07
221.325,-0.069
221.35,-0.077
221.375,-0.087
221.4,-0.099
221.425,-0.111
221.45,-0.129
221.475,-0.137
221.5,-0.151
221.525,-0.151
221.55,-0.145
221.575,-0.135
221.6,-0.115
221.625,-0.095
221.65,-0.067
221.675,-0.027
221.7,0.012
221.725,0.044
221.75,0.084
221.775,0.116
221.8,0.15
221.825,0.174
221.85,0.188
221.875,0.19
221.9,0.18
221.925,0.164
221.95,0.134
221.975,0.098
222,0.058
222.025,0.01
222.05,-0.042
222.075,-0.101
222.1,-0.165
222.125,-0.215
222.15,-0.279
222.175,-0.337
222.2,-0.399
222.225,-0.455
222.25,-0.509
222.275,-0.565
222.3,-0.611
222.325,-0.649
222.35,-0.677
222.375,-0.695
222.4,-0.705
222.425,-0.697
222.45,-0.673
222.475,-0.65
222.5,-0.608
222.525,-0.576
222.55,-0.532
222.575,-0.482
222.6,-0.428
222.625,-0.384
222.65,-0.342
222.675,-0.3
222.7,-0.27
222.725,-0.252
222.75,-0.244
222.775,-0.25
222.8,-0.266
222.825,-0.28
222.85,-0.31
222.875,-0.355
222.9,-0.393
222.925,-0.429
222.95,-0.467
222.975,-0.493
223,-0.517
223.025,-0.525
223.05,-0.521
223.075,-0.501
223.1,-0.469
223.125,-0.417
223.15,-0.355
223.175,-0.289
223.2,-0.215
223.225,-0.149
223.25,-0.075
223.275,-0.01
223.3,0.054
223.325,0.1
223.35,0.14
223.375,0.174
223.4,0.208
223.425,0.23
223.45,0.25
223.475,0.276
223.5,0.306
223.525,0.344
223.55,0.384
223.575,0.446
223.6,0.512
223.625,0.58
223.65,0.662
223.675,0.738
223.7,0.819
223.725,0.877
223.75,0.935
223.775,0.971
223.8,0.991
223.825,0.991
223.85,0.979
223.875,0.941
223.9,0.895
223.925,0.839
223.95,0.783
223.975,0.739
224,0.695
224.025,0.667
224.05,0.649
224.075,0.641
224.1,0.651
224.125,0.662
224.15,0.682
224.175,0.698
224.2,0.722
224.225,0.732
224.25,0.728
224.275,0.714
224.3,0.686
224.325,0.634
224.35,0.582
224.375,0.518
224.4,0.446
224.425,0.382
224.45,0.314
224.475,0.246
224.5,0.186
224.525,0.138
224.55,0.088
224.575,0.043
224.6,0.003
224.625,-0.039
224.65,-0.069
224.675,-0.103
224.7,-0.135
224.725,-0.171
224.75,-0.207
224.775,-0.237
224.8,-0.265
224.825,-0.295
224.85,-0.319
224.875,-0.343
224.9,-0.369
224.925,-0.393
224.95,-0.415
224.975,-0.431
225,-0.443
225.025,-0.46
225.05,-0.474
225.075,-0.488
225.1,-0.5
225.125,-0.506
225.15,-0.516
225.175,-0.522
225.2,-0.534
225.225,-0.54
225.25,-0.546
225.275,-0.556
225.3,-0.562
225.325,-0.572
225.35,-0.574
225.375,-0.572
225.4,-0.564
225.425,-0.554
225.45,-0.538
225.475,-0.512
225.5,-0.483
225.525,-0.445
225.55,-0.413
225.575,-0.373
225.6,-0.339
225.625,-0.305
225.65,-0.283
225.675,-0.261
225.7,-0.245
225.725,-0.239
225.75,-0.229
225.775,-0.221
225.8,-0.219
225.825,-0.223
225.85,-0.213
225.875,-0.209
225.9,-0.195
225.925,-0.183
225.95,-0.171
225.975,-0.155
226,-0.146
226.025,-0.13
226.05,-0.128
226.075,-0.128
226.1,-0.13
226.125,-0.136
226.15,-0.138
226.175,-0.148
226.2,-0.162
226.225,-0.166
226.25,-0.176
226.275,-0.174
226.3,-0.176
226.325,-0.166
226.35,-0.158
226.375,-0.146
226.4,-0.136
226.425,-0.126
226.45,-0.118
226.475,-0.11
226.5,-0.109
226.525,-0.107
226.55,-0.113
226.575,-0.121
226.6,-0.139
226.625,-0.155
226.65,-0.169
226.675,-0.193
226.7,-0.219
226.725,-0.239
226.75,-0.263
226.775,-0.289
226.8,-0.313
226.825,-0.335
226.85,-0.363
226.875,-0.391
226.9,-0.431
226.925,-0.471
226.95,-0.515
226.975,-0.569
227,-0.635
227.025,-0.702
227.05,-0.768
227.075,-0.84
227.1,-0.904
227.125,-0.962
227.15,-1.006
227.175,-1.052
227.2,-1.084
227.225,-1.108
227.25,-1.122
227.275,-1.132
227.3,-1.154
227.325,-1.164
227.35,-1.184
227.375,-1.196
227.4,-1.222
227.425,-1.244
227.45,-1.27
227.475,-1.294
227.5,-1.316
227.525,-1.326
227.55,-1.324
227.575,-1.315
227.6,-1.283
227.625,-1.253
227.65,-1.213
227.675,-1.155
227.7,-1.091
227.725,-1.037
227.75,-0.975
227.775,-0.917
227.8,-0.867
227.825,-0.821
227.85,-0.785
227.875,-0.755
227.9,-0.739
227.925,-0.721
227.95,-0.717
227.975,-0.713
228,-0.721
228.025,-0.737
228.05,-0.749
228.075,-0.773
228.1,-0.797
228.125,-0.821
228.15,-0.847
228.175,-0.89
228.2,-0.918
228.225,-0.948
228.25,-0.966
228.275,-0.988
228.3,-0.994
228.325,-0.99
228.35,-0.97
228.375,-0.936
228.4,-0.892
228.425,-0.844
228.45,-0.78
228.475,-0.714
228.5,-0.634
228.525,-0.572
228.55,-0.5
228.575,-0.428
228.6,-0.35
228.625,-0.29
228.65,-0.228
228.675,-0.166
228.7,-0.112
228.725,-0.054
228.75,-0.004
228.775,0.041
228.8,0.089
228.825,0.125
228.85,0.159
228.875,0.191
228.9,0.213
228.925,0.225
228.95,0.239
228.975,0.243
229,0.247
229.025,0.247
229.05,0.251
229.075,0.253
229.1,0.267
229.125,0.279
229.15,0.297
229.175,0.317
229.2,0.343
229.225,0.361
229.25,0.379
229.275,0.393
229.3,0.405
229.325,0.407
229.35,0.391
229.375,0.373
229.4,0.345
229.425,0.304
229.45,0.264
229.475,0.218
229.5,0.158
229.525,0.096
229.55,0.036
229.575,-0.03
229.6,-0.084
229.625,-0.14
229.65,-0.188
229.675,-0.24
229.7,-0.284
229.725,-0.32
229.75,-0.342
229.775,-0.376
229.8,-0.392
229.825,-0.394
229.85,-0.402
229.875,-0.402
229.9,-0.402
229.925,-0.396
229.95,-0.388
229.975,-0.38
230,-0.378
230.025,-0.38
230.05,-0.384
230.075,-0.378
230.1,-0.384
230.125,-0.385
230.15,-0.385
230.175,-0.379
230.2,-0.371
230.225,-0.359
230.25,-0.337
230.275,-0.303
230.3,-0.263
230.325,-0.213
230.35,-0.165
230.375,-0.113
230.4,-0.057
230.425,-0.011
230.45,0.033
230.475,0.073
230.5,0.107
230.525,0.143
230.55,0.173
230.575,0.199
230.6,0.231
230.625,0.267
230.65,0.305
230.675,0.357
230.7,0.413
230.725,0.481
230.75,0.543
230.775,0.603
230.8,0.667
230.825,0.723
230.85,0.773
230.875,0.816
230.9,0.846
230.925,0.858
230.95,0.866
230.975,0.864
231,0.85
231.025,0.828
231.05,0.802
231.075,0.772
231.1,0.746
231.125,0.716
231.15,0.69
231.175,0.662
